value,trait_type,asset_id
Pink Ribbon Twintails,Hair,75
Soft Pink Grin,Mouth,75
Golden Wings,Weapon,75
Blonde Ponytail,Hair,76
Dark Frown,Mouth,76
Bloody Pale,Skin,76
Buster Blade,Weapon,76
Crimson Explosion,Background,76
Nyan Kitty,Clothes,76
Jester Eyes,Eyes,76
Light,Skin,77
Spectral Pink Blades,Weapon,77
Black Gradient,Background,77
Trigger Happy,Clothes,77
Dark Glow Eyes,Eyes,77
Long Silver Bangs,Hair,77
Black Hairband,Hat,77
Blue Open Mouth,Mouth,77
Scissors,Weapon,78
Purple Gradient,Background,78
White Turtleneck,Clothes,78
Shy Blue Eyes,Eyes,78
Android Eyemask,Eyewear,78
Short Pink Hair,Hair,78
Open Smile Blue,Mouth,78
Pale,Skin,78
Pencil Black,Clothes,79
Eye Patch White,Eyewear,79
Dark Flowy Buns,Hair,79
Light,Skin,79
Gun,Weapon,79
KGF Pattern,Background,79
Cute Dark Eyes,Eyes,79
Oni Mask,Hat,79
Lip Bite Purple,Mouth,79
Black Gradient,Background,80
Bleeding Heart Tee,Clothes,80
Pink Eyes,Eyes,80
Red Devil Braids,Hair,80
Smooch Lips,Mouth,80
Light,Skin,80
Spirit Fire,Weapon,80
Feather Wings,Weapon,81
Phantom Thief,Eyewear,81
Dark,Skin,81
Vampire Eyes,Eyes,81
Dark Flowy Buns,Hair,81
Oni Mask,Hat,81
Crescent Smile,Mouth,81
GF Heart Pink,Background,81
Samurai,Clothes,81
Light,Skin,82
Blade Wings,Weapon,82
Dark Fade Hair,Hair,82
One Side Grin,Mouth,82
Vampire Eyes,Eyes,82
Grey Heart Glasses,Eyewear,82
Black Hairband,Hat,82
GF Heart White,Background,82
HODL Jacket,Clothes,82
Dark,Skin,83
Dual Wield,Weapon,83
White,Background,83
Z Jacket,Clothes,83
Shy Blue Eyes,Eyes,83
Light Buns,Hair,83
Snaggle Tooth,Mouth,83
Pale,Skin,84
Buster Blade,Weapon,84
Crimson Hole,Background,84
Agent Outfit,Clothes,84
Heart Eyes,Eyes,84
Blue Side Ponytail,Hair,84
Bubblegum,Mouth,84
Neko Hair,Hair,85
Vampire Cute Grin,Mouth,85
Bloody Light,Skin,85
Syringe,Weapon,85
Purple Gradient,Background,85
Nyan Kitty,Clothes,85
Spiral Prism Eyes,Eyes,85
Vampblade,Weapon,86
Crimson Hole,Background,86
White Star Dress,Clothes,86
Vampire Eyes,Eyes,86
Phantom Thief,Eyewear,86
Red Ring Ponytail,Hair,86
Lip Bite Purple,Mouth,86
Pale,Skin,86
Pink Bikini,Clothes,87
Doll Eyes,Eyes,87
Rave Goggles,Eyewear,87
Mecha Pilot Twintails,Hair,87
Smooch Lips,Mouth,87
Bloody Light,Skin,87
AR-15,Weapon,87
Dark Gradient,Background,87
Samurai,Clothes,88
Monochrome Eyes,Eyes,88
Purple Ponytail,Hair,88
Soft Pink Grin,Mouth,88
Bloody Pale,Skin,88
Syringe,Weapon,88
GF Heart Invert,Background,88
Crimson Eyes,Eyes,89
Blue Fade Hair,Hair,89
Bubblegum,Mouth,89
Pale,Skin,89
Katana,Weapon,89
Purple Gradient,Background,89
Devil Hunter,Clothes,89
Bloody Dark,Skin,90
Quinn Bat,Weapon,90
Crimson Ripple,Background,90
Samurai,Clothes,90
Closed,Eyes,90
Blue Fade Hair,Hair,90
Blue Lick,Mouth,90
Dark KGF Pattern,Background,91
Messy Student,Clothes,91
Closed,Eyes,91
Long Dark Bangs,Hair,91
Silver Cybermask,Mouth,91
Tanline,Skin,91
Devil Spears,Weapon,91
Vamp Smile,Mouth,92
Light,Skin,92
Devil Wings,Weapon,92
White Hole,Background,92
Kamiverse Dress,Clothes,92
Crimson Eyes,Eyes,92
Short Bangs with Earrings,Hair,92
Black Gradient,Background,93
HODL Jacket,Clothes,93
Heterochromia,Eyes,93
Red Devil Braids,Hair,93
Devil Tooth,Hat,93
O Smile,Mouth,93
Dark,Skin,93
Ghost Blade,Weapon,93
Dark,Skin,94
AR-15,Weapon,94
KGF Pattern,Background,94
Pattern Jacket,Clothes,94
Pink Eyes,Eyes,94
Blue Side Ponytail,Hair,94
Angry Shy,Mouth,94
Devil Hunter,Clothes,95
Shy Blue Eyes,Eyes,95
3D Glasses,Eyewear,95
Blonde Flowy Hair,Hair,95
Shark Smile,Mouth,95
Tanline,Skin,95
Red Rocket,Weapon,95
Dark Gradient,Background,95
Lip Bite Red,Mouth,96
Light,Skin,96
Gatling Gun,Weapon,96
KGF Pattern,Background,96
Devil Hunter,Clothes,96
Wink,Eyes,96
Rockstar Hair,Hair,96
Oni Horns,Hat,96
AR-15,Weapon,97
GF Heart Invert,Background,97
Android Dress,Clothes,97
Monochrome Eyes,Eyes,97
Long Silver Bangs,Hair,97
Metal Horns,Hat,97
Silver Cybermask,Mouth,97
Dark,Skin,97
One Winged,Weapon,98
Crimson Explosion,Background,98
Kunai Pencil,Clothes,98
Shy Blue Eyes,Eyes,98
Rave Goggles,Eyewear,98
Short Pink Hair,Hair,98
Closed Smile Red,Mouth,98
Dark,Skin,98
Crimson Gradient,Background,99
Psycho Eyes,Eyes,99
Closed Smile Red,Mouth,99
Dark,Skin,99
Scissors,Weapon,99
Assassin,Clothes,99
Android Eyemask,Eyewear,99
Blue Fishpin Hair,Hair,99
Black Ribbon,Hat,99
Light,Skin,100
Oniblade,Weapon,100
Purple Solid,Background,100
Bleeding Heart Tee,Clothes,100
Light Blue Eyes,Eyes,100
Round Glasses,Eyewear,100
Pink Punk Hair,Hair,100
Lollipop,Mouth,100
Zipped Mask,Mouth,101
