transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd,tokens_sold
0xf2cfe8fc4c4f53be0dadd4fd12938ced1c0603c8f14d8dd8d574410f1c4b7278,14372210,2022-03-12,1,0x833a685898c2ba7ca920a347b106f4ceb75d8cf6,0xb3166cda4d65b5e857ba8f9ac4e17a01d4a9eed4,0x833a685898c2ba7ca920a347b106f4ceb75d8cf6,0xb3166cda4d65b5e857ba8f9ac4e17a01d4a9eed4,0.62,1588.9560591922982,10
0x54ac15a72532ccc1cf0d84c44d56a40ce231323b87b033fcb465196b38c4ad0a,14372154,2022-03-12,1,0x5a9d4a4111dea1bf7e6c365b3a6c72766c10e830,0x09fd7587ded0013205992aa7bfa8b546b785bb81,0x09fd7587ded0013205992aa7bfa8b546b785bb81,0x5a9d4a4111dea1bf7e6c365b3a6c72766c10e830,0.06,153.7699412121579,1
0x305827aeb70b69bc951ef7d25c4c57f845e025c886f2a236b8d7fe371f461ffe,14372146,2022-03-12,1,0xd1fb388bd0352b7b8585e70981ef5c3b57f8321f,0x11dc50b23a59039a16959f0cfd7171781180b907,0xd1fb388bd0352b7b8585e70981ef5c3b57f8321f,0x11dc50b23a59039a16959f0cfd7171781180b907,0.06198,158.84434927215912,1
0x460cc748476bd66d3e884b0c61fcaa854db66cfc10af555ad6e2ea8001785225,14372085,2022-03-12,1,0xe2e32b08c355e4a422092544d14c6abe54259c6b,0x3e09760e1a7e7ee912307808152850e7e0620ce7,0xe2e32b08c355e4a422092544d14c6abe54259c6b,0x3e09760e1a7e7ee912307808152850e7e0620ce7,0.062,158.89560591922984,1
0x84a3e2a9b58dc42dea1001bc3aa38506e44c5b1d9b3a9049725a1d0ee3d530fb,14372070,2022-03-12,1,0x10edaf9735e5b5ebca3926b80a685b9653ff3023,0xa5c5b5941056590e9f95d6d76096a31cbb937cd5,0x10edaf9735e5b5ebca3926b80a685b9653ff3023,0xa5c5b5941056590e9f95d6d76096a31cbb937cd5,0.059,151.20710885862192,1
0x81a39ab7022a594cb9dd884afe04cc7b578d0ef109357703bedb44d044f2e55f,14372046,2022-03-12,1,0xa8d5f679ac974084cafb2ab2de440f6f9212cb74,0x5cebca9ac392360021a0443add6eb9a6ce1f98de,0xa8d5f679ac974084cafb2ab2de440f6f9212cb74,0x5cebca9ac392360021a0443add6eb9a6ce1f98de,0.05999,153.74431288862255,1
0xd9b7116c43914916b0f1bc9623c147ea082ee3394a06a224b712e0ae3ba3d6c9,14371960,2022-03-12,1,0xff6cf85ea90093ab119636b61ac798aa5b0ec53a,0x86533b7913e4091f46ce996159d795eb9e51ec00,0xff6cf85ea90093ab119636b61ac798aa5b0ec53a,0x86533b7913e4091f46ce996159d795eb9e51ec00,0.06,153.7699412121579,1
0x18ce182fa40134c20a371ee54996f38f1bf2e5fca444017452cfa727f9b7d51d,14371953,2022-03-12,1,0xa014f4727361f0b8b83b5b2a7c3817c67a284864,0x86533b7913e4091f46ce996159d795eb9e51ec00,0xa014f4727361f0b8b83b5b2a7c3817c67a284864,0x86533b7913e4091f46ce996159d795eb9e51ec00,0.06,153.7699412121579,1
0x77e7a39246aa6d12a095d7c1f9cf60d88cef7fb68f5181dcc207ddaebd075c70,14371932,2022-03-12,1,0xa20c32005968d0af6ef2dd8be949da175c0c8a8e,0xef81ec73374f564d34a4c27c4979e2409cdc5291,0xa20c32005968d0af6ef2dd8be949da175c0c8a8e,0xef81ec73374f564d34a4c27c4979e2409cdc5291,0.055,140.95577944447808,1
0x9fb4026d7929b0a45d65272e9ce136e1e938b15646db1a23b4a7eff2f10d3efe,14371836,2022-03-12,1,0x6b47237bd8ab0f029fa0081cbbb9f5e288a13a54,0x5cebca9ac392360021a0443add6eb9a6ce1f98de,0x6b47237bd8ab0f029fa0081cbbb9f5e288a13a54,0x5cebca9ac392360021a0443add6eb9a6ce1f98de,0.059,151.20710885862192,1
